datetime;open;high;low;close;volume
2024-08-27 10:30:00;697.66400;705.16998;697.66400;704.70502;395612
2024-08-27 10:00:00;691.53003;697.82990;691.53003;697.45001;265699
2024-08-27 09:30:00;688.53003;694.45001;686.91998;691.17499;456641
2024-08-26 15:30:00;687.59998;689.71002;686.61377;688.83002;189408
2024-08-26 15:00:00;688.97998;689.34192;687.56000;687.78003;61619
2024-08-26 14:30:00;688.17499;689.67999;687.98999;689.23999;40545
2024-08-26 14:00:00;686.20001;688.17999;686.059998;688.069092;38083
2024-08-26 13:30:00;688.81500;689.15002;686.099976;686.34998;52572
2024-08-26 13:00:00;689.73999;689.73999;688.065125;688.73291;44298
2024-08-26 12:30:00;689.28998;690.5;688.85608;689.80499;45453
2024-08-26 12:00:00;686.79999;689.13361;685.69000;689.13361;56748
2024-08-26 11:30:00;688.66998;689.71997;686.33990;686.79498;64598
2024-08-26 11:00:00;686.53003;690.59003;686.34003;689.030029;108349
2024-08-26 10:30:00;685.40002;686.53003;681.63757;686.53003;129854
2024-08-26 10:00:00;686.78998;687.59998;684.51001;685.41998;113116
2024-08-26 09:30:00;687.59998;690;685.00012207;686.049988;181083
2024-08-23 15:30:00;685.27002;688.22998;683.63000;686.73999;348855
2024-08-23 15:00:00;682.54999;685.34998;681.53003;685.34998;109622
2024-08-23 14:30:00;682.82599;683.57001;682;682.49500;62733
2024-08-23 14:00:00;683.57501;684.95001;682.51001;683.059998;74518
2024-08-23 13:30:00;684.66498;685.93988;683.42010;683.70001;60858
2024-08-23 13:00:00;683.91998;684.83002;682.82501;684.37000;50291
2024-08-23 12:30:00;681.90997;684.63000;679.68500;683.90009;86811
2024-08-23 12:00:00;683.58002;683.58002;681.030029;681.96002;75761
2024-08-23 11:30:00;685.090027;686.81000;683.21997;683.40002;76902
2024-08-23 11:00:00;683.17999;685.62921;678.63000;685.31000;216657
2024-08-23 10:30:00;692.31500;693.020020;681.14001;683.45502;272141
2024-08-23 10:00:00;691.63782;696.070007;691.63782;692.82501;228000
2024-08-23 09:30:00;694.13000;694.76501;689.69012;692.010010;214073
2024-08-22 15:30:00;688.51001;689.66498;686.90002;689.31000;351959
2024-08-22 15:00:00;689.77252;690.5;687.85999;688.33002;105470
2024-08-22 14:30:00;690.5;691.17999;689.59259;689.97998;76558
2024-08-22 14:00:00;687.53998;690.65002;686.66998;690.60999;84820
2024-08-22 13:30:00;691.090027;691.28003;686.23999;687.90002;150633
2024-08-22 13:00:00;691.15503;692.63000;689.45001;691.53748;80828
2024-08-22 12:30:00;695.29999;695.76001;690.69000;691.28003;86072
2024-08-22 12:00:00;691.69000;695.97998;691.29999;695.070007;90980
2024-08-22 11:30:00;694.37000;694.37000;688;691.92999;184705
2024-08-22 11:00:00;696.37842;697.58002;693.15002;694.21002;132093
2024-08-22 10:30:00;698.025024;699.059998;695.59003;695.96997;143985
2024-08-22 10:00:00;698.82501;700.028198;695.57001;697.79999;184815
2024-08-22 09:30:00;691;701.5;688.71997;698.125;586975
2024-08-21 15:30:00;696.28003;698.42999;695.77002;697.090027;281132
2024-08-21 15:00:00;698.84003;698.89001;695.48999;696.48999;92592
2024-08-21 14:30:00;698.46002;699.36249;697.62000;698.64001;67535
2024-08-21 14:00:00;700.21002;701;697.63013;698.23499;74819
2024-08-21 13:30:00;699.27002;700.12000;698.80060;700;79083
2024-08-21 13:00:00;699.030029;700.60999;698.41199;699.29498;118031
2024-08-21 12:30:00;698.63000;700.099976;698.62000;699.42700;72181
2024-08-21 12:00:00;697.090027;698.95203;696.53003;698.69000;60814
2024-08-21 11:30:00;698.92999;699.65002;697;697.53003;91116
2024-08-21 11:00:00;694.53998;700.24988;693.95001;698.67499;173484
2024-08-21 10:30:00;694.42010;699.14001;693.90997;694.94000;196336
2024-08-21 10:00:00;696.27502;696.94000;691.38501;695.054993;161789
2024-08-21 09:30:00;697;698.34003;692;695.69501;376785
2024-08-20 15:30:00;698;699.79999;697.73999;698.33002;447533
2024-08-20 15:00:00;697.93500;698.60870;697.46008;697.94000;132958
2024-08-20 14:30:00;699.025024;699.78992;697.27002;697.89001;128074
2024-08-20 14:00:00;697.96002;700.059998;697.96002;699.097412;132371
2024-08-20 13:30:00;696.26001;699;695.92999;698.125;130852
2024-08-20 13:00:00;696.98999;697.27002;694.11011;696.25;263153
2024-08-20 12:30:00;698.5;699.15997;696.89001;697.059998;97736
2024-08-20 12:00:00;699.85999;700.16998;697.77002;698.45001;139153
2024-08-20 11:30:00;696.77002;700.40997;696.60999;699.85999;254149
2024-08-20 11:00:00;697.96002;698.60992;695.55011;696.57001;296360
2024-08-20 10:30:00;703.28003;704.20990;696.70001;698.085022;505082
2024-08-20 10:00:00;705.78998;711.33002;701.79999;703.28497;794640
2024-08-20 09:30:00;689;707.84998;688.24500;705.82001;1088398
2024-08-19 15:30:00;685.53003;688.83002;684.77002;688.62000;444821
2024-08-19 15:00:00;684.97992;685.67401;684.32001;685.53998;120160
2024-08-19 14:30:00;684.16357;685.34332;683.71002;684.78003;178087
2024-08-19 14:00:00;682.41821;684.28003;682.13000;684.17999;149972
2024-08-19 13:30:00;681.85999;682.46002;680.83008;682.22998;87611
2024-08-19 13:00:00;680.34003;682.21002;680.32001;681.64001;90131
2024-08-19 12:30:00;679.89001;680.90002;679.26001;680.40997;78841
2024-08-19 12:00:00;680.72498;681.17999;679.76001;679.92999;211370
2024-08-19 11:30:00;682.51501;683.39001;680.46002;680.64972;120218
2024-08-19 11:00:00;682.79999;683.36639;681.73010;682.56000;149777
2024-08-19 10:30:00;684.89771;685.41992;680.94000;682.73999;187876
2024-08-19 10:00:00;681.83002;685.125;680.5;684.40503;264470
2024-08-19 09:30:00;675;682.44000;672.90997;681.96997;374409
2024-08-16 15:30:00;676.15002;676.32001;672.65503;674.15997;399771
2024-08-16 15:00:00;676.085022;676.58990;675.14001;676.10999;108414
2024-08-16 14:30:00;676.11987;676.37000;674.60498;676.17999;119307
2024-08-16 14:00:00;677.48499;677.62000;675.52002;675.75;102714
2024-08-16 13:30:00;678.89001;679.27002;677.059998;677.33099;86801
2024-08-16 13:00:00;679.49371;679.84998;678.15002;678.65997;109927
2024-08-16 12:30:00;676.22998;680.22998;676.16998;679.65997;214270
2024-08-16 12:00:00;675.94501;677.12988;675.15997;676.26001;161034
2024-08-16 11:30:00;673.83002;676.60199;672.69000;675.71997;176199
2024-08-16 11:00:00;674.44000;676.059875;673.33002;673.71002;415507
2024-08-16 10:30:00;673.37000;674.64001;671.40997;674.43622;223732
2024-08-16 10:00:00;671.14001;673.81000;669.83002;673.19000;293213
2024-08-16 09:30:00;669.42999;672.89502;665.35999;671.54999;537144
2024-08-15 15:30:00;663.25;664.92999;660.91998;663;496589
2024-08-15 15:00:00;664.57001;664.65997;662.77002;663.37000;110089
2024-08-15 14:30:00;664.080017;665;663.70001;664.70001;78807
2024-08-15 14:00:00;664.64252;664.88000;663.42999;663.95001;98213
2024-08-15 13:30:00;661.67999;665.48999;661.67999;664.77002;132510
2024-08-15 13:00:00;661.71002;661.96002;659.79999;661.90002;151341
2024-08-15 12:30:00;661.75;663.67999;660.46002;661.95001;142062
2024-08-15 12:00:00;662.72803;664.79999;661.38000;661.75;157728
2024-08-15 11:30:00;663.78998;665.70001;662.52008;662.83002;152934
2024-08-15 11:00:00;664.53003;665.22998;662.67999;663.82001;210616
2024-08-15 10:30:00;670.14001;670.34998;664.31000;664.33002;204313
2024-08-15 10:00:00;671.97998;672.58002;669.35999;670.13000;187293
2024-08-15 09:30:00;667.92999;673.19000;666.14001;671.79999;392703
2024-08-14 15:30:00;659.70001;662.23499;658.39502;661.29999;366788
2024-08-14 15:00:00;661.56500;662.35999;659.54999;659.70502;132521
2024-08-14 14:30:00;660.72998;662;659.85999;661.60498;106886
2024-08-14 14:00:00;659.84998;660.95001;659.34003;660.50500;90290
2024-08-14 13:30:00;659.66998;660.62000;658.75;660.125;606932
2024-08-14 13:00:00;659.63000;660.78003;658.54498;659.32001;139424
2024-08-14 12:30:00;660.72498;662.010010;658.25751;659.71997;156051
2024-08-14 12:00:00;662.71002;662.97333;660.10999;661;236261
2024-08-14 11:30:00;661.070007;663.57001;660.71002;662.96002;163339
2024-08-14 11:00:00;656.50671;661;655.29010;660.89001;192260
2024-08-14 10:30:00;656.48999;657.40002;653.33002;656.34998;133849
2024-08-14 10:00:00;659.75;661.90997;654.38000;656.17499;323161
2024-08-14 09:30:00;648.70001;660.76001;648.70001;660.18500;529207
2024-08-13 15:30:00;649.79999;650.96997;647.21002;648.010010;459499
2024-08-13 15:00:00;649.75;650.40997;648.70001;649.90503;206356
2024-08-13 14:30:00;648.22498;649.69000;647.71002;649.69000;109347
2024-08-13 14:00:00;647.79999;648.79999;646.87000;648.26001;100929
2024-08-13 13:30:00;648.5;648.84497;645.96002;647.79999;109109
2024-08-13 13:00:00;648.46997;648.70001;647.71002;648.39001;89640
2024-08-13 12:30:00;646.60999;648.54999;645.71997;648.20007;122312
2024-08-13 12:00:00;646.58002;646.79999;645.54999;646.44519;86248
2024-08-13 11:30:00;644.43500;647;644.35999;646.93988;136376
